"cd_geouf","cd_geocmu","regiao","uf","estado","municipio","bioma","arcodesmat","matopiba","mun_ha","pol_ha","pct_areapo","area_ha","classe"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",0.0645124896083027,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",1827.00192839715,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",7.15465695398897,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",3.24258089813739,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",33.0656715826482,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",0.318638338513672,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",0.0604473670348525,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",0.0645086743909866,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",8.70181002220809,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",38.8714753366722,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",0.0645056016024202,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",0.128989828056097,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",20.5556783990562,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",7.2440026801452,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",23.996199162969,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",38.6451297336161,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",8.3926305249393,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",6.77088768644631,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",171.652658251402,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",8.55114954070151,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",73.0573751483053,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",1.16416914217994,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",0.0943392112031579,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",10.8787605126612,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",50.68850308218,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",0.37731704854132,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",44.4604130246252,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",0.0943285399459237,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",133.215401349947,"Pastagem"
